pickle_encode_ms,model_request_infer_ms,inference_time_ms,total_gateway_ms
7.972275838255882,2149.9017979949713,554.23,3279.6533722430468
7.016120478510857,1699.6066831052303,503.107,1707.694735378027
6.308447569608688,1455.737454816699,527.289,1463.1103798747063
6.831176578998566,2231.199523434043,370.599,3108.3295829594135
6.263066083192825,1754.8939660191536,477.622,1762.0767895132303
6.757695227861404,1724.072590470314,499.961,1736.4714927971363
6.654364988207817,1560.743235051632,561.356,1888.3093632757664
10.04728116095066,2449.4752306491137,561.434,4021.530117839575
6.840113550424576,1077.3001499474049,114.922,1297.8486064821482
8.609361946582794,1291.1157831549644,490.488,2113.521993160248
6.325537338852882,1243.6629422008991,435.517,1533.5963610559702
7.2578322142362595,1585.8009792864323,505.8,1614.3798511475325
6.1990246176719666,1421.8589924275875,521.779,2533.4602445364
6.414312869310379,2045.4239062964916,383.746,2053.082188591361
6.360389292240143,1221.5103264898062,530.082,1228.9130669087172
8.36232304573059,2554.9672953784466,456.376,3951.8346283584833
6.354751065373421,1563.0381144583225,522.132,1570.3659038990736
7.252341136336327,1174.256905913353,491.004,1185.901926830411
5.967196077108383,1327.2715918719769,373.938,2559.6428737044334
6.618810817599297,1878.3730622380972,555.118,2086.5508168935776
10.300584137439728,1887.6323569566011,464.504,3234.150981530547
6.98336586356163,1520.088179036975,558.174,1528.0905347317457
6.451224908232689,1199.7226309031248,404.374,1207.3699031025171
7.54970870912075,1385.8900554478168,538.658,2479.767791926861
6.08641654253006,1472.2594618797302,533.301,1479.4395230710506
8.147012442350388,1241.8629173189402,367.92,1250.9529870003462
6.834845989942551,1462.4451510608196,378.253,3177.717477083206
7.209759205579758,1213.4609632194042,361.342,1221.723385155201
7.102891802787781,1400.5447551608086,409.401,2461.5558199584484
8.549392223358154,1602.0897012203932,405.587,1833.8847812265158
6.692703813314438,1326.3792600482702,398.325,2575.083604082465
6.4535439014434814,1681.7759238183498,396.801,1689.8089423775673
6.182340905070305,968.7401410192251,397.209,976.110678166151
7.046734914183617,1344.0224546939135,405.837,2059.604402631521
6.221020594239235,1249.045241624117,397.277,1597.0351994037628
6.856683641672134,1491.412103176117,414.943,2917.30247810483
5.653589963912964,1158.2817249000072,411.131,1382.4082128703594
7.3906853795051575,1597.9651995003223,417.798,2113.4676095098257
6.328705698251724,1375.0270921736956,410.81,1566.9240560382605
6.713731214404106,1173.8643608987331,410.188,3073.5815204679966
6.621021777391434,1132.554778829217,419.446,1894.6099877357483
6.693629547953606,1118.4169724583626,415.755,1126.1957697570324
6.043123081326485,1217.8297713398933,400.896,1224.9639853835106
6.8637914955616,1355.3098607808352,432.657,2706.8113330751657
6.2476955354213715,990.6896241009235,402.271,997.9980662465096
6.920503452420235,1122.455108910799,425.849,2567.129520699382
6.1850156635046005,925.7933143526316,415.07,978.8793958723545
6.7206695675849915,1170.4341657459736,414.572,2928.5347871482372
6.041383370757103,827.0822241902351,403.223,834.1858834028244
7.511794567108154,906.5434541553259,407.209,2069.224404171109
6.4597707241773605,914.8857239633799,404.786,1136.2355779856443
7.741060107946396,891.2540711462498,428.276,2647.331230342388
5.8577824383974075,935.6696233153343,375.251,1025.1808892935514
7.006781175732613,1258.3842873573303,424.09,1976.9775215536356
6.559116765856743,1223.0224255472422,412.647,1231.0445848852396
6.761634722352028,831.44754730165,415.724,839.264802634716
6.2637776136398315,802.3995738476515,426.373,1888.69708776474
6.942080333828926,945.7837026566267,409.897,1094.3288672715425
6.125055253505707,892.2398239374161,395.961,2587.7398382872343
6.823616102337837,937.6738928258419,377.405,1381.6924169659615
7.1970392018556595,1020.2072039246559,411.873,1037.3053755611181
6.950050592422485,1017.531493678689,407.718,1175.591330975294
6.689794361591339,1098.756605759263,411.32,2060.995763167739
8.02144780755043,1157.9787116497755,415.997,1178.0318804085255
6.7765675485134125,1564.0556905418634,405.482,2640.896175056696
7.2271861135959625,1267.8253818303347,384.895,1276.165448129177
6.072137504816055,1455.0199322402477,401.073,3454.024363309145
7.142797112464905,1149.1917241364717,396.067,1157.3702935129404
